"","treatment","timestep","treatment_factor","timestep_factor","comp","plot_id","fire_tolerate_carbon","tree_carbon","fire_percentage","fire_percentage_01"
"247","mechburn","post_18","mechburn","post_18",380,"0380-00118",72.2622136584658,154.923511995924,46.6438003679952,0.466438003679952
"248","mechburn","post_18","mechburn","post_18",380,"0380-00119",215.627111841449,223.477748047751,96.4870613406107,0.964870613406107
"249","mechburn","post_18","mechburn","post_18",380,"0380-00120",104.121495855954,281.697751733619,36.9621323617856,0.369621323617856
"250","mechburn","post_18","mechburn","post_18",380,"0380-00125",80.9374389772964,226.868754682004,35.6758863029614,0.356758863029614
"251","mechburn","post_18","mechburn","post_18",380,"0380-00126",120.004577253862,120.004577253862,100,1
"252","mechburn","post_18","mechburn","post_18",570,"0570-00011",27.4532572081426,107.333666790489,25.5774893647586,0.255774893647586
"253","mechburn","post_18","mechburn","post_18",570,"0570-00013",105.386974471663,130.156803940122,80.969239625879,0.80969239625879
"254","mechburn","post_18","mechburn","post_18",570,"0570-00017",110.003188570725,211.4328788694,52.0274751774404,0.520274751774404
"255","mechburn","post_18","mechburn","post_18",570,"0570-00023",134.418210155616,207.053915144673,64.9194245188242,0.649194245188242
"256","mechburn","post_18","mechburn","post_18",570,"0570-00101",123.581863584093,180.06360454062,68.6323390556225,0.686323390556225
"257","mechburn","post_18","mechburn","post_18",570,"0570-00102",66.4116896144259,86.8579046865226,76.4601562219481,0.764601562219481
"258","mechburn","post_18","mechburn","post_18",570,"0570-00103",66.9888826023565,150.22106418707,44.5935348447107,0.445935348447107
"259","mechburn","post_18","mechburn","post_18",570,"0570-00104",82.6730759813785,89.6246287620673,92.2437025662404,0.922437025662404
"260","mechburn","post_18","mechburn","post_18",570,"0570-00105",101.190134787917,152.468682242043,66.3678161966918,0.663678161966918
"261","mechburn","post_18","mechburn","post_18",570,"0570-00106",222.808229123833,260.96020583027,85.3801553439718,0.853801553439718
"262","mechburn","post_18","mechburn","post_18",570,"0570-00107",77.7370281217759,197.163049949722,39.4277873778071,0.394277873778071
"263","mechburn","post_18","mechburn","post_18",570,"0570-00110",49.3818629764514,111.779820269564,44.1777977969227,0.441777977969227
"264","mechburn","post_18","mechburn","post_18",570,"0570-00111",85.3634287763803,138.997845060416,61.4134907913691,0.614134907913691
"265","mechburn","post_18","mechburn","post_18",570,"0570-00112",32.0261125793329,135.460469475833,23.6424048309139,0.236424048309139
"266","mechburn","post_18","mechburn","post_18",570,"0570-00113",131.164151273742,185.141405579709,70.8453902372865,0.708453902372865
"267","mechburn","post_18","mechburn","post_18",570,"0570-00119",47.574066009463,124.232080289321,38.2945096779099,0.382945096779099
"268","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00004",161.689426362772,288.68593301005,56.0087651922905,0.560087651922905
"269","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00008",5.09934225677879,129.786942381157,3.9290102403392,0.039290102403392
"270","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00010",130.909633251132,150.812465471829,86.8029262976182,0.868029262976182
"271","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00018",43.9125263955117,76.7224628099239,57.2355536921472,0.572355536921472
"272","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00101",159.167849413785,301.322497654727,52.8230884360214,0.528230884360214
"273","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00102",249.460726756081,339.43321118821,73.4933172516697,0.734933172516697
"274","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00107",208.280396168491,282.720085193311,73.670180180541,0.73670180180541
"275","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00108",124.902688806549,179.801207599499,69.4671022926419,0.694671022926419
"276","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00109",72.6231194164198,152.954135736189,47.4803241291089,0.474803241291089
"277","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00110",0.523470187161258,36.9035175331638,1.41848317491912,0.0141848317491912
"278","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00111",75.0666646928753,204.470457452752,36.7127191028177,0.367127191028177
"279","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00114",221.762551013078,383.700888645891,57.7956834542902,0.577956834542902
"280","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00120",76.9766147755003,102.922253939404,74.7910309278895,0.747910309278895
"281","mechburn","pre_treatment","mechburn","pre_treatment",180,"0180-00121",133.219242382829,226.903693324654,58.7117998966277,0.587117998966277
"282","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00002",17.145021184791,108.85378754351,15.7505049403429,0.157505049403429
"283","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00004",27.9230000387077,188.760102570053,14.7928506387333,0.147928506387333
"284","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00006",126.477242346208,176.857773445914,71.5135330960657,0.715135330960657
"285","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00010",24.1636680156837,138.432863362222,17.4551529375343,0.174551529375343
"286","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00015",112.553623199617,184.023073363131,61.1627776575149,0.611627776575149
"287","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00102",87.7050136320982,178.224887470962,49.2103066393509,0.492103066393509
"288","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00103",86.2356075908444,257.082431668231,33.5439520434181,0.335439520434181
"289","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00104",83.392357665155,314.973706663285,26.4759743118188,0.264759743118188
"290","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00107",64.3972678922813,205.099995402902,31.3979860242211,0.313979860242211
"291","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00110",154.057127946462,241.559210418655,63.7761349192441,0.637761349192441
"292","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00113",177.664526732824,233.784385727756,75.9950354168286,0.759950354168286
"293","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00114",153.765253766993,273.26769833479,56.2690924335336,0.562690924335336
"294","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00117",85.6926493698941,210.883127049042,40.6351378457917,0.406351378457917
"295","mechburn","pre_treatment","mechburn","pre_treatment",380,"0380-00118",77.393159512554,172.271936774241,44.9249953078407,0.449249953078407
